id_mahasiswa;Marital_status;Application_mode;Application_order;Course;Daytime_evening_attendance;Previous_qualification;Previous_qualification_grade;Nacionality;Mothers_qualification;Fathers_qualification;Mothers_occupation;Fathers_occupation;Admission_grade;Displaced;Educational_special_needs;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;Age_at_enrollment;International;Curricular_units_1st_sem_credited;Curricular_units_1st_sem_enrolled;Curricular_units_1st_sem_evaluations;Curricular_units_1st_sem_approved;Curricular_units_1st_sem_grade;Curricular_units_1st_sem_without_evaluations;Curricular_units_2nd_sem_credited;Curricular_units_2nd_sem_enrolled;Curricular_units_2nd_sem_evaluations;Curricular_units_2nd_sem_approved;Curricular_units_2nd_sem_grade;Curricular_units_2nd_sem_without_evaluations;Unemployment_rate;Inflation_rate;GDP;Status;skor_gerbang;pita_gerbang;skor_tahun_pertama;pita_tahun_pertama;asal_skor
MHS0018;1;17;2;9500;1;1;135.0;1;19;1;5;4;127.3;1;0;0;1;0;0;18;0;0;7;8;7;13.30625;0;0;8;8;8;14.545;0;15.5;2.8;-4.06;Graduate;0.3324;Prioritas;0.081;Aman;data uji
MHS0019;1;1;1;9130;1;1;137.0;1;3;19;3;5;136.3;1;0;0;1;0;0;20;0;0;5;8;4;12.5;1;0;5;8;4;12.25;2;10.8;1.4;1.74;Graduate;0.2486;Prioritas;0.0763;Aman;data uji
MHS0020;1;1;1;9853;1;1;140.0;1;19;19;7;7;124.6;1;0;0;1;0;0;18;0;0;7;7;6;11.666666666666666;0;0;7;8;6;13.5;0;16.2;0.3;-0.92;Enrolled;0.6151;Prioritas;0.1214;Aman;mahasiswa aktif
MHS0021;1;1;3;171;1;1;122.0;1;1;1;9;8;120.3;0;0;0;1;0;1;21;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;11.1;0.6;2.02;Graduate;0.1063;Aman;0.4092;Prioritas;data uji
MHS0022;1;18;4;9556;1;1;127.0;1;1;38;4;7;121.8;1;0;0;1;0;0;20;0;0;7;14;7;11.4375;0;0;8;9;8;11.425;0;12.7;3.7;-1.7;Enrolled;0.3803;Prioritas;0.0578;Aman;mahasiswa aktif
MHS0023;1;1;4;9500;1;1;142.0;1;19;19;1;1;125.5;1;0;0;1;0;0;18;0;0;8;12;7;12.857142857142858;0;0;8;12;7;12.857142857142858;0;12.7;3.7;-1.7;Graduate;0.1381;Aman;0.0431;Aman;data uji
MHS0024;1;1;4;9670;1;1;125.0;1;1;38;4;7;114.9;1;0;0;1;0;1;19;0;0;6;8;6;13.375;0;0;6;7;6;12.285714285714286;0;11.1;0.6;2.02;Graduate;0.0623;Aman;0.0364;Aman;validasi silang
MHS0025;1;1;1;9500;1;1;126.0;1;19;19;3;7;123.9;0;0;0;1;0;0;19;0;0;7;8;6;13.296666666666669;0;0;8;9;7;14.114285714285714;0;11.1;0.6;2.02;Graduate;0.0869;Aman;0.0558;Aman;validasi silang
MHS0026;1;1;1;9238;1;1;151.0;1;19;38;9;9;157.0;1;0;1;1;0;1;18;0;0;6;8;5;11.6;0;0;6;12;4;11.0;0;7.6;2.6;0.32;Enrolled;0.0417;Aman;0.3492;Aman;mahasiswa aktif
MHS0027;1;17;2;9238;1;1;115.0;1;19;38;7;8;116.4;1;0;0;1;0;0;21;0;0;6;9;6;11.375;0;0;6;9;6;13.285714285714286;0;16.2;0.3;-0.92;Graduate;0.3025;Prioritas;0.0403;Aman;validasi silang
MHS0028;1;1;1;9085;1;1;138.0;1;19;19;3;3;131.0;1;0;0;1;0;0;18;0;0;5;9;5;12.666666666666666;2;0;5;7;4;13.0;0;9.4;-0.8;-3.12;Enrolled;0.1466;Aman;0.0748;Aman;mahasiswa aktif
MHS0029;1;1;1;9147;1;1;135.0;1;19;1;9;9;122.1;1;0;0;1;0;0;20;0;0;5;6;5;12.0;0;0;5;6;5;12.333333333333334;0;16.2;0.3;-0.92;Graduate;0.4407;Prioritas;0.032;Aman;validasi silang
MHS0030;1;17;2;9500;1;1;127.0;1;3;3;1;10;118.8;1;0;0;1;1;0;19;0;0;7;9;6;12.933333333333332;0;0;7;7;6;13.716666666666669;0;16.2;0.3;-0.92;Enrolled;0.3458;Prioritas;0.1126;Aman;mahasiswa aktif
MHS0031;1;44;1;9003;1;39;150.0;1;4;5;4;2;150.0;0;0;0;1;1;0;21;0;0;6;15;5;11.857142857142858;0;0;6;17;5;10.571428571428571;0;16.2;0.3;-0.92;Enrolled;0.4089;Prioritas;0.1609;Aman;mahasiswa aktif
MHS0032;1;51;1;9070;1;1;125.0;1;42;3;125;124;130.0;1;0;0;1;1;0;20;0;2;6;7;6;12.833333333333334;0;0;6;9;4;13.4;0;8.9;1.4;3.51;Graduate;0.4116;Prioritas;0.3339;Aman;validasi silang
MHS0033;1;1;1;9147;1;1;143.0;1;1;1;4;6;138.8;0;0;0;0;1;0;18;0;0;5;9;3;11.333333333333334;0;0;5;8;2;13.5;0;8.9;1.4;3.51;Enrolled;0.8591;Kritis;0.9786;Kritis;mahasiswa aktif
MHS0034;1;18;1;8014;0;1;138.0;1;19;1;9;5;134.5;1;0;0;1;0;0;19;0;0;6;6;6;12.666666666666666;0;0;6;8;6;14.375;0;12.4;0.5;1.79;Graduate;0.1601;Aman;0.0318;Aman;validasi silang
MHS0035;1;1;1;9991;0;1;130.0;1;2;37;3;9;131.4;0;0;0;1;1;0;34;0;0;5;6;5;12.4;0;0;5;9;5;13.428571428571429;0;13.9;-0.3;0.79;Graduate;0.335;Prioritas;0.0525;Aman;validasi silang
MHS0036;1;39;1;33;1;1;130.0;1;38;37;9;6;102.5;0;0;1;0;1;0;37;0;0;7;7;0;0.0;0;0;7;7;1;10.0;0;8.9;1.4;3.51;Dropout;0.9829;Kritis;0.9795;Kritis;validasi silang
MHS0037;1;39;1;9119;1;10;133.1;1;34;37;0;0;128.8;1;0;0;1;1;0;43;0;0;5;0;0;0.0;0;0;5;0;0;0.0;0;7.6;2.6;0.32;Dropout;0.9624;Kritis;0.9795;Kritis;validasi silang
MHS0038;1;43;1;9147;1;1;140.0;1;37;37;6;6;122.9;0;0;0;1;0;0;55;0;0;5;10;1;10.0;0;0;5;8;2;12.0;2;16.2;0.3;-0.92;Dropout;0.4284;Prioritas;0.978;Kritis;data uji
MHS0039;4;39;1;9991;0;1;120.0;1;19;19;9;3;113.9;1;0;0;1;0;0;39;0;0;5;8;5;11.0;0;0;5;5;5;11.6;0;7.6;2.6;0.32;Graduate;0.6308;Prioritas;0.0605;Aman;validasi silang
MHS0040;1;44;1;9130;1;39;120.0;6;4;4;3;6;120.0;0;0;1;0;0;0;20;1;2;6;13;3;11.666666666666666;0;1;6;11;3;12.0;0;12.4;0.5;1.79;Dropout;0.9104;Kritis;0.9685;Kritis;validasi silang
MHS0041;1;1;5;9773;1;1;126.0;1;3;3;2;2;121.1;0;0;1;1;0;0;18;0;0;6;6;4;12.75;0;0;5;5;0;0.0;0;12.7;3.7;-1.7;Dropout;0.4986;Prioritas;0.9756;Kritis;validasi silang
MHS0042;1;1;2;9147;1;1;133.0;1;3;19;2;7;120.4;1;0;0;1;0;0;22;0;0;5;5;5;14.8;0;0;5;5;5;15.8;0;8.9;1.4;3.51;Graduate;0.2854;Prioritas;0.0565;Aman;data uji
MHS0043;1;1;6;9500;1;1;103.0;1;1;3;2;2;100.6;1;1;0;1;0;0;22;0;0;7;9;5;13.928;0;0;8;9;7;14.342857142857142;0;11.1;0.6;2.02;Graduate;0.1627;Aman;0.198;Aman;validasi silang
MHS0044;1;17;1;9773;1;1;120.0;1;1;38;5;5;121.4;0;0;0;0;0;0;20;0;0;6;7;4;13.0;0;0;6;7;5;13.8;0;12.4;0.5;1.79;Dropout;0.8774;Kritis;0.76;Kritis;validasi silang
MHS0045;1;39;1;9991;0;1;133.1;1;37;37;9;9;109.7;0;0;0;1;0;0;29;0;0;5;0;0;0.0;0;0;5;0;0;0.0;0;16.2;0.3;-0.92;Dropout;0.6223;Prioritas;0.9787;Kritis;validasi silang
MHS0046;1;17;1;9991;0;1;154.0;1;38;38;4;5;134.1;0;0;0;1;0;0;24;0;0;5;9;2;11.5;0;0;5;11;3;14.333333333333334;1;7.6;2.6;0.32;Enrolled;0.2606;Prioritas;0.9491;Kritis;mahasiswa aktif
MHS0047;1;17;2;9238;1;1;130.0;1;19;19;9;9;127.6;1;0;0;1;0;0;18;0;0;6;6;6;11.666666666666666;0;0;6;8;5;13.2;0;11.1;0.6;2.02;Graduate;0.1271;Aman;0.0757;Aman;validasi silang
MHS0048;1;17;6;9500;1;1;132.0;1;37;19;7;7;132.4;1;0;0;1;0;1;22;0;0;7;8;6;13.516666666666666;0;0;8;9;7;13.771428571428572;0;11.1;0.6;2.02;Graduate;0.0861;Aman;0.0543;Aman;validasi silang
MHS0049;1;44;1;8014;0;39;130.0;1;1;19;9;9;133.4;0;0;0;1;0;1;21;0;3;6;6;6;11.5;0;2;6;7;6;13.285714285714286;0;12.4;0.5;1.79;Graduate;0.0411;Aman;0.0294;Aman;validasi silang
MHS0050;1;1;1;9238;1;1;139.0;1;37;38;9;9;126.1;0;0;0;1;0;1;19;0;0;6;7;5;12.333333333333334;0;0;6;7;6;12.833333333333334;0;12.7;3.7;-1.7;Graduate;0.0357;Aman;0.0284;Aman;validasi silang
MHS0051;1;39;1;9254;1;1;130.0;1;19;38;9;7;113.5;0;0;0;1;0;1;24;0;0;6;6;6;13.666666666666666;0;0;6;6;6;14.166666666666666;0;12.4;0.5;1.79;Graduate;0.2753;Prioritas;0.0292;Aman;data uji
MHS0052;1;1;1;9500;1;1;139.0;1;37;38;6;6;121.3;1;0;0;1;0;1;19;0;0;8;10;6;11.833333333333334;0;0;8;10;6;11.833333333333334;0;9.4;-0.8;-3.12;Enrolled;0.0201;Aman;0.104;Aman;mahasiswa aktif
MHS0053;1;1;1;9773;1;1;127.0;1;1;19;7;7;121.8;1;0;0;1;0;1;20;0;0;6;11;4;14.0;0;0;6;12;3;11.0;0;9.4;-0.8;-3.12;Enrolled;0.086;Aman;0.6253;Prioritas;mahasiswa aktif
MHS0054;1;1;3;9130;1;1;167.0;1;37;37;90;90;159.3;0;0;0;1;0;0;19;0;0;5;7;5;14.714285714285714;0;0;5;5;5;15.8;0;7.6;2.6;0.32;Graduate;0.4071;Prioritas;0.057;Aman;validasi silang
MHS0055;1;39;1;9991;0;1;130.0;1;38;38;9;9;120.0;0;0;0;1;0;0;27;0;0;5;12;5;10.6;0;0;5;10;5;11.0;0;9.4;-0.8;-3.12;Dropout;0.4666;Prioritas;0.0827;Aman;data uji
MHS0056;1;1;1;9500;1;1;130.0;1;1;19;5;5;129.1;1;0;0;1;0;0;18;0;0;7;9;7;13.044444444444444;0;0;8;10;8;13.595;0;15.5;2.8;-4.06;Graduate;0.1676;Aman;0.0519;Aman;validasi silang
MHS0057;2;7;1;9254;1;3;130.0;1;1;3;4;3;130.0;0;0;0;1;0;0;39;0;0;6;10;0;0.0;0;0;6;6;0;0.0;0;12.4;0.5;1.79;Dropout;0.538;Prioritas;0.9795;Kritis;validasi silang
MHS0058;1;39;1;9130;1;40;129.0;1;3;3;2;2;155.3;1;0;0;1;0;0;27;0;0;6;9;5;13.0;0;5;11;13;10;12.9;0;12.4;0.5;1.79;Dropout;0.5139;Prioritas;0.0724;Aman;validasi silang
MHS0059;1;17;1;9500;1;1;141.0;1;38;38;7;10;139.8;1;0;0;1;0;0;18;0;0;8;8;8;14.935;0;0;8;8;8;14.935;0;9.4;-0.8;-3.12;Graduate;0.1091;Aman;0.0281;Aman;validasi silang
MHS0060;1;1;3;171;1;1;125.0;1;38;37;4;9;115.2;1;0;0;1;0;0;18;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;7.6;2.6;0.32;Enrolled;0.2556;Prioritas;0.4262;Prioritas;mahasiswa aktif
MHS0061;1;1;2;9500;1;1;125.0;1;19;19;9;9;114.9;0;0;0;1;0;0;18;0;0;7;8;6;13.133333333333333;0;0;8;12;7;12.221428571428572;0;16.2;0.3;-0.92;Graduate;0.1555;Aman;0.061;Aman;data uji
MHS0062;1;44;1;9238;1;39;130.0;1;19;1;9;9;131.9;0;0;0;1;0;1;21;0;3;6;7;6;12.0;0;2;6;7;6;12.0;0;13.9;-0.3;0.79;Graduate;0.0784;Aman;0.0321;Aman;validasi silang
MHS0063;1;17;3;171;1;1;133.0;1;1;37;4;7;126.0;1;0;0;1;1;1;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Enrolled;0.2507;Prioritas;0.1836;Aman;mahasiswa aktif
MHS0064;1;17;1;9070;1;1;127.0;1;1;1;3;4;130.2;1;0;0;1;1;0;19;0;0;6;6;5;11.4;0;0;6;8;1;10.0;0;10.8;1.4;1.74;Enrolled;0.3681;Prioritas;0.971;Kritis;mahasiswa aktif
MHS0065;1;43;1;9070;1;1;116.0;1;1;1;3;3;120.9;0;0;0;1;1;0;24;0;0;6;6;0;0.0;0;0;6;6;0;0.0;0;12.7;3.7;-1.7;Enrolled;0.3255;Prioritas;0.9801;Kritis;mahasiswa aktif
MHS0066;4;42;1;9500;1;19;133.1;1;1;1;5;5;126.0;1;0;0;1;1;0;29;0;2;7;10;5;11.9;0;1;8;10;5;11.0;0;13.9;-0.3;0.79;Dropout;0.4501;Prioritas;0.8548;Kritis;validasi silang
MHS0067;1;1;3;171;1;1;139.0;1;19;19;5;3;128.2;1;0;0;1;1;1;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Graduate;0.2034;Aman;0.2376;Aman;validasi silang
MHS0068;1;44;1;9003;1;39;130.0;1;19;37;9;9;130.0;1;0;0;1;1;0;23;0;0;6;8;6;12.571428571428571;0;0;6;7;6;12.428571428571429;0;8.9;1.4;3.51;Graduate;0.3241;Prioritas;0.0338;Aman;data uji
MHS0069;1;1;3;9147;1;1;125.0;1;1;38;7;7;120.1;0;0;1;1;1;0;19;0;0;5;8;5;11.2;0;0;5;10;4;10.75;3;16.2;0.3;-0.92;Dropout;0.7843;Kritis;0.3589;Aman;data uji
MHS0070;1;39;1;9254;1;1;160.0;1;19;37;7;10;100.0;0;0;0;1;1;0;26;0;0;6;7;6;12.0;0;0;6;8;5;10.8;0;12.7;3.7;-1.7;Enrolled;0.8417;Kritis;0.0807;Aman;mahasiswa aktif
MHS0071;1;17;1;9147;1;1;148.0;1;38;37;5;5;134.0;0;0;0;1;1;0;18;0;0;5;9;0;0.0;0;0;5;5;0;0.0;0;7.6;2.6;0.32;Enrolled;0.503;Prioritas;0.9798;Kritis;mahasiswa aktif
MHS0072;1;17;1;9500;1;1;150.0;1;37;19;8;4;130.8;0;0;0;1;1;0;24;0;0;7;8;7;11.975;0;0;8;8;8;13.75;0;13.9;-0.3;0.79;Graduate;0.6393;Prioritas;0.0379;Aman;validasi silang
MHS0073;1;1;1;171;1;1;141.0;1;19;19;5;10;135.8;1;0;0;1;1;0;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;15.5;2.8;-4.06;Dropout;0.4382;Prioritas;0.4632;Prioritas;validasi silang
MHS0074;1;17;4;9254;1;1;118.0;1;38;37;5;7;111.7;1;0;0;1;1;0;18;0;0;6;12;3;11.666666666666666;0;0;6;12;1;12.0;0;12.4;0.5;1.79;Dropout;0.6402;Prioritas;0.9758;Kritis;validasi silang
MHS0075;1;1;2;9773;1;1;142.0;1;38;38;9;9;132.9;1;0;0;1;1;0;18;0;0;6;8;6;12.333333333333334;0;0;6;11;3;12.333333333333334;0;10.8;1.4;1.74;Graduate;0.2309;Prioritas;0.5665;Prioritas;validasi silang
MHS0076;1;17;3;9147;1;1;120.0;1;19;19;4;7;115.5;1;0;1;1;1;0;18;0;0;5;8;3;10.333333333333334;0;0;5;11;3;10.857142857142858;0;10.8;1.4;1.74;Dropout;0.7874;Kritis;0.9652;Kritis;validasi silang
MHS0077;1;18;4;9254;1;1;106.0;1;19;37;7;7;106.0;1;0;0;1;1;1;21;0;0;6;8;4;10.5;0;0;6;11;1;11.0;0;9.4;-0.8;-3.12;Dropout;0.2876;Prioritas;0.9522;Kritis;validasi silang
MHS0078;1;17;4;9773;1;1;121.0;1;1;19;9;8;120.3;1;0;1;1;1;1;19;0;0;6;6;6;13.666666666666666;0;0;6;6;6;13.333333333333334;0;8.9;1.4;3.51;Graduate;0.3757;Prioritas;0.0527;Aman;validasi silang
MHS0079;1;17;4;9500;1;1;150.0;1;38;37;9;9;130.8;0;0;0;1;1;1;22;0;0;7;7;7;14.842857142857142;0;0;8;9;8;15.055555555555555;0;16.2;0.3;-0.92;Graduate;0.1105;Aman;0.0353;Aman;validasi silang
MHS0080;2;39;1;8014;0;1;120.0;1;37;37;9;6;117.0;0;0;0;1;1;0;33;0;0;6;8;6;12.0;0;0;6;6;6;11.666666666666666;0;10.8;1.4;1.74;Graduate;0.2912;Prioritas;0.0353;Aman;validasi silang
MHS0081;1;1;6;9853;1;1;114.0;1;19;19;9;9;110.2;1;0;0;1;1;0;20;0;0;6;8;5;12.2;0;0;6;7;5;12.2;0;10.8;1.4;1.74;Dropout;0.6808;Kritis;0.1561;Aman;validasi silang
MHS0082;1;39;1;9991;0;2;140.0;1;3;3;2;2;155.7;1;0;0;1;1;0;35;0;0;1;1;0;0.0;1;0;5;0;0;0.0;0;10.8;1.4;1.74;Dropout;0.7261;Kritis;0.9737;Kritis;validasi silang
MHS0083;1;39;1;9003;1;4;160.0;1;3;3;4;2;180.4;0;0;1;1;1;0;24;0;6;12;17;6;12.166666666666666;0;7;12;14;10;13.3;0;12.4;0.5;1.79;Dropout;0.5414;Prioritas;0.7481;Kritis;validasi silang
MHS0084;1;17;1;9254;1;1;120.0;1;19;19;4;4;125.5;0;0;0;1;1;0;18;0;0;5;6;5;12.0;0;0;5;8;3;11.333333333333334;0;12.7;3.7;-1.7;Enrolled;0.6202;Prioritas;0.6894;Kritis;mahasiswa aktif
MHS0085;2;39;1;8014;0;1;130.0;1;37;37;9;6;110.0;1;0;0;1;0;0;33;0;0;6;7;6;11.0;0;0;6;11;5;11.0;0;9.4;-0.8;-3.12;Graduate;0.201;Aman;0.0986;Aman;validasi silang
MHS0086;1;42;1;9500;1;1;160.0;1;37;38;9;7;161.0;1;0;0;1;0;1;22;0;0;8;8;7;13.08;0;0;8;8;7;13.08;0;10.8;1.4;1.74;Graduate;0.0413;Aman;0.029;Aman;validasi silang
MHS0087;1;39;1;9670;1;1;120.0;1;1;19;4;5;100.0;0;0;0;1;0;1;25;0;0;5;7;4;10.5;0;0;5;7;5;11.6;0;9.4;-0.8;-3.12;Graduate;0.1871;Aman;0.0457;Aman;validasi silang
MHS0088;1;17;1;9070;1;1;124.0;1;19;38;4;0;117.6;1;0;0;1;1;0;20;0;0;6;9;6;10.666666666666666;1;0;6;6;5;11.2;0;7.6;2.6;0.32;Graduate;0.2288;Prioritas;0.0758;Aman;validasi silang
MHS0089;1;1;6;9147;1;1;143.0;1;38;37;9;9;128.7;1;0;0;1;1;0;23;0;0;5;6;4;14.0;0;0;5;5;5;13.8;0;11.1;0.6;2.02;Enrolled;0.4646;Prioritas;0.077;Aman;mahasiswa aktif
MHS0090;1;43;2;9119;1;1;115.0;1;38;19;9;6;112.2;1;0;1;1;1;0;18;0;0;5;9;2;10.0;0;0;5;9;0;0.0;0;15.5;2.8;-4.06;Enrolled;0.8447;Kritis;0.9798;Kritis;mahasiswa aktif
MHS0091;1;39;1;9500;1;1;133.1;1;1;1;4;10;100.8;0;0;0;1;1;0;24;0;0;7;18;0;0.0;0;0;7;7;0;0.0;0;13.9;-0.3;0.79;Dropout;0.567;Prioritas;0.9795;Kritis;validasi silang
MHS0092;1;17;2;9773;1;1;133.1;41;19;1;9;9;105.0;1;0;0;0;0;0;21;1;0;6;6;6;14.0;0;0;6;6;6;13.5;0;8.9;1.4;3.51;Graduate;0.854;Kritis;0.2018;Aman;validasi silang
MHS0093;1;15;1;9130;1;1;133.1;41;1;1;4;4;100.0;0;0;0;1;0;0;26;1;0;6;7;2;12.0;1;0;6;6;0;0.0;0;8.9;1.4;3.51;Dropout;0.2232;Prioritas;0.9794;Kritis;validasi silang
MHS0094;2;39;1;9853;1;10;133.1;1;37;34;0;0;115.5;0;0;0;1;0;0;39;0;0;6;12;3;12.666666666666666;0;0;6;14;0;0.0;1;7.6;2.6;0.32;Dropout;0.8099;Kritis;0.9789;Kritis;data uji
MHS0095;2;39;1;8014;0;1;133.1;1;37;19;9;9;114.0;0;0;0;1;0;0;44;0;2;8;11;8;11.875;0;0;6;7;6;12.333333333333334;0;12.7;3.7;-1.7;Graduate;0.2684;Prioritas;0.0364;Aman;validasi silang
MHS0096;1;15;1;9119;1;1;130.0;26;38;3;9;2;137.0;1;0;0;1;1;0;19;1;0;5;9;5;14.0;0;0;5;11;3;13.25;0;13.9;-0.3;0.79;Enrolled;0.2915;Prioritas;0.7426;Kritis;mahasiswa aktif
MHS0097;1;1;5;9773;1;1;135.0;1;37;1;5;5;124.9;1;0;0;1;0;0;18;0;0;6;6;6;13.666666666666666;0;0;6;6;6;13.333333333333334;0;8.9;1.4;3.51;Graduate;0.2725;Prioritas;0.0542;Aman;data uji
MHS0098;1;1;5;9500;1;1;132.0;1;37;37;7;7;120.3;1;0;0;1;0;1;18;0;0;7;7;7;13.75;0;0;8;9;8;14.47777777777778;0;12.4;0.5;1.79;Graduate;0.0526;Aman;0.028;Aman;validasi silang
MHS0099;1;1;1;9085;1;1;135.0;1;1;2;9;1;134.3;1;0;0;1;0;0;19;0;0;5;7;5;14.2;2;0;5;7;5;13.8;0;12.7;3.7;-1.7;Enrolled;0.2421;Prioritas;0.052;Aman;mahasiswa aktif
MHS0100;1;1;4;9500;1;1;115.0;1;3;3;2;2;111.5;1;0;1;0;0;0;19;0;0;7;10;4;11.96;0;0;7;7;0;0.0;0;13.9;-0.3;0.79;Dropout;0.8879;Kritis;0.9801;Kritis;data uji
MHS0101;1;53;1;9085;1;42;130.0;1;38;38;9;9;128.8;0;0;0;1;0;0;21;0;7;10;12;8;12.875;0;4;9;14;5;13.4;0;8.9;1.4;3.51;Dropout;0.1368;Aman;0.5726;Prioritas;data uji
MHS0102;1;1;4;171;1;1;133.1;1;1;1;9;10;110.0;1;0;0;1;0;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;16.2;0.3;-0.92;Graduate;0.4237;Prioritas;0.8558;Kritis;validasi silang
MHS0103;2;39;1;8014;0;1;130.0;1;37;37;6;5;113.5;1;0;0;1;0;0;36;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;9.4;-0.8;-3.12;Dropout;0.2639;Prioritas;0.9784;Kritis;validasi silang
