id_mahasiswa;Course;Age_at_enrollment;Gender;Debtor;Tuition_fees_up_to_date;Scholarship_holder;program_studi;skor_gerbang;pita_gerbang;skor_tahun_pertama;pita_tahun_pertama;kenaikan_risiko
MHS0768;9070;18;1;0;1;0;Desain Komunikasi;0.4028;Prioritas;0.9262;Kritis;0.5234
MHS0368;9085;19;0;0;1;0;Keperawatan Hewan;0.2522;Prioritas;0.9251;Kritis;0.6729
MHS0387;9119;18;1;0;1;0;Teknik Informatika;0.8334;Kritis;0.9228;Kritis;0.0894
MHS0715;9147;19;0;0;1;0;Manajemen;0.3699;Prioritas;0.9216;Kritis;0.5517
MHS0757;9853;22;0;0;1;0;Pendidikan Dasar;0.5811;Prioritas;0.9196;Kritis;0.3385
MHS0648;9147;19;1;1;0;0;Manajemen;0.9806;Kritis;0.9191;Kritis;-0.0615
MHS0187;9991;25;0;0;1;0;Manajemen (kelas malam);0.3991;Prioritas;0.9191;Kritis;0.52
MHS0289;9085;20;0;0;1;0;Keperawatan Hewan;0.1356;Aman;0.9178;Kritis;0.7822
MHS0359;9500;22;1;0;1;0;Keperawatan;0.2485;Prioritas;0.9167;Kritis;0.6682
MHS0145;9130;23;0;1;0;0;Manajemen Kuda;0.9368;Kritis;0.9131;Kritis;-0.0237
MHS0222;9238;20;0;0;1;0;Pekerjaan Sosial;0.2384;Prioritas;0.9117;Kritis;0.6733
MHS0499;9003;20;1;0;1;0;Agronomi;0.2066;Aman;0.9097;Kritis;0.7031
MHS0099;9670;22;1;1;1;0;Manajemen Periklanan dan Pemasaran;0.3787;Prioritas;0.9085;Kritis;0.5298
MHS0366;9070;18;0;0;1;0;Desain Komunikasi;0.1185;Aman;0.9044;Kritis;0.7859
MHS0345;9238;18;0;0;1;0;Pekerjaan Sosial;0.1943;Aman;0.9037;Kritis;0.7094
MHS0120;9085;23;0;0;0;0;Keperawatan Hewan;0.7865;Kritis;0.9025;Kritis;0.116
MHS0372;9130;18;0;1;0;0;Manajemen Kuda;0.9643;Kritis;0.9003;Kritis;-0.064
MHS0435;9500;34;1;0;1;0;Keperawatan;0.6172;Prioritas;0.8986;Kritis;0.2814
MHS0727;9085;21;0;1;1;0;Keperawatan Hewan;0.2602;Prioritas;0.8972;Kritis;0.637
MHS0278;9147;19;1;0;1;0;Manajemen;0.5368;Prioritas;0.8968;Kritis;0.36
MHS0231;9085;21;1;0;1;0;Keperawatan Hewan;0.2682;Prioritas;0.895;Kritis;0.6268
MHS0184;9853;18;0;0;1;0;Pendidikan Dasar;0.4519;Prioritas;0.894;Kritis;0.4421
MHS0027;9147;20;0;0;1;0;Manajemen;0.3884;Prioritas;0.8932;Kritis;0.5048
MHS0314;9147;24;0;0;1;0;Manajemen;0.4201;Prioritas;0.8929;Kritis;0.4728
MHS0056;9147;26;0;0;1;0;Manajemen;0.3734;Prioritas;0.8879;Kritis;0.5145
MHS0684;9003;20;1;0;1;1;Agronomi;0.1213;Aman;0.8866;Kritis;0.7653
MHS0095;9147;20;1;0;1;0;Manajemen;0.4516;Prioritas;0.8853;Kritis;0.4337
MHS0640;9085;19;1;0;0;0;Keperawatan Hewan;0.9002;Kritis;0.8834;Kritis;-0.0168
MHS0769;9085;18;1;0;1;0;Keperawatan Hewan;0.3593;Prioritas;0.8831;Kritis;0.5238
MHS0625;9500;38;0;0;1;0;Keperawatan;0.2248;Prioritas;0.8828;Kritis;0.658
MHS0691;9070;34;1;0;1;0;Desain Komunikasi;0.3422;Prioritas;0.881;Kritis;0.5388
MHS0282;9254;18;1;0;1;0;Pariwisata;0.4074;Prioritas;0.8756;Kritis;0.4682
MHS0434;8014;39;1;0;1;0;Pekerjaan Sosial (kelas malam);0.3051;Prioritas;0.8754;Kritis;0.5703
MHS0501;8014;26;0;0;1;1;Pekerjaan Sosial (kelas malam);0.1121;Aman;0.8745;Kritis;0.7624
MHS0342;9853;18;0;0;1;0;Pendidikan Dasar;0.4403;Prioritas;0.8736;Kritis;0.4333
MHS0703;9238;22;0;0;1;0;Pekerjaan Sosial;0.1088;Aman;0.8711;Kritis;0.7623
MHS0306;9003;21;1;0;1;0;Agronomi;0.389;Prioritas;0.8695;Kritis;0.4805
MHS0771;9119;18;1;0;1;0;Teknik Informatika;0.7081;Kritis;0.8687;Kritis;0.1606
MHS0097;9147;20;1;0;1;0;Manajemen;0.5947;Prioritas;0.8668;Kritis;0.2721
MHS0655;171;19;1;1;1;0;Desain Animasi dan Multimedia;0.7464;Kritis;0.8603;Kritis;0.1139
MHS0426;9773;22;1;0;1;0;Jurnalisme dan Komunikasi;0.4258;Prioritas;0.8598;Kritis;0.434
MHS0276;9119;21;1;0;1;0;Teknik Informatika;0.8279;Kritis;0.8569;Kritis;0.029
MHS0380;9147;20;1;0;1;0;Manajemen;0.5775;Prioritas;0.8543;Kritis;0.2768
MHS0264;9773;18;0;0;0;0;Jurnalisme dan Komunikasi;0.8615;Kritis;0.8539;Kritis;-0.0076
MHS0319;9147;25;1;0;1;0;Manajemen;0.6239;Prioritas;0.8525;Kritis;0.2286
MHS0183;171;18;0;0;1;0;Desain Animasi dan Multimedia;0.4299;Prioritas;0.8502;Kritis;0.4203
MHS0098;9119;25;1;0;1;0;Teknik Informatika;0.8413;Kritis;0.85;Kritis;0.0087
MHS0173;9991;34;1;0;1;0;Manajemen (kelas malam);0.4962;Prioritas;0.8494;Kritis;0.3532
MHS0749;9238;18;0;0;1;1;Pekerjaan Sosial;0.0244;Aman;0.8479;Kritis;0.8235
MHS0262;9119;30;1;1;1;0;Teknik Informatika;0.8293;Kritis;0.8463;Kritis;0.017
